"","HISTORIAL","ALCANCE","IMPACTO.CALIDAD","PLAN.PRESUPUESTO","PORC.PRES.ACTUAL","PORC.PRES.ANTERIOR","CLASIFICACION","PUNTOS","PRED"
"Tennis",2,3,3,4,0.01545576464,0.02763279091,"DEPORTIVO",25,17.1607900337347
"Fitness Association",5,3,3,4,0.03139264257,0.08535462082,"DEPORTIVO",50,37.2392848697535
"Meditacion y Yoga ITAM",4,5,4,5,0.07622638786,0.09824992324,"DEPORTIVO",60,64.9968536366737
"Sharks ITAM",5,3,5,5,0.09020874303,0.06140620203,"DEPORTIVO",50,59.2519110527887
"Taekwondo",2,3,3,5,0.01924453185,0.02333435677,"DEPORTIVO",10,16.3511604070495
"Sonar",2,1,2,3,0.01644806081,0.02855388394,"CULTURAL",10,15.0843617614228
"Entelequia: Tertulias Generales",4,5,5,5,0.01517010362,0.02649677617,"CULTURAL",20,31.7422359589501
"Club de Veganos Y Vegetarianos de Alumnos del ITAM",4,3,3,4,0.03848906369,0.04912496162,"CULTURAL",40,37.9716965203873
"3DP",3,2,3,3,0.01862810544,0.02701872889,"CULTURAL",25,21.9822253327809
"Verde ITAM",5,3,5,4,0.03758697626,0.04298434142,"CULTURAL",50,39.1546413473654
"Silabas",3,2,3,4,0.007818091063,0.008596868284,"CULTURAL",10,12.4864972282857
"ITAM Construye",5,3,5,5,0.02405566481,0.01228124041,"CULTURAL",30,26.5783418508079
"Seminario de Analisis",5,1,3,4,0.03884989867,0.02763279091,"ACADEMICO",20,36.0411907464648
"Eagle Knights Robótica",1,2,3,5,0.04678826805,0.07982806263,"ACADEMICO",50,44.2603780007281
"SPI: Security and Privacy research lab ITAM",2,1,3,3,0.01353131145,0.02149217071,"ACADEMICO",20,21.4259090249497
"Modelo Legislativo",4,3,4,5,0.04059393436,0.003807184526,"ACADEMICO",50,38.9130474298351
"Debate ITAM",1,3,5,5,0.08464587054,0.09824992324,"ACADEMICO",65,69.3452624182741
"TEDxITAM",3,4,5,5,0.1511898533,0.02456248081,"ACADEMICO",100,95.0142123797482
"Laberintos ",5,5,5,5,0.04209741341,0.06017807799,"PUBLICACION",50,49.6339127524528
"holaMundo: Revista de ingeniería",5,4,4,5,0.02104870671,0.04298434142,"PUBLICACION",35,32.8337429842158
"Urbi et Orbi",3,4,4,5,0.03818836788,0.04169481118,"PUBLICACION",35,37.5323442633314
"Homies",5,5,4,5,0.0120278324,0.01934295364,"RECREACION",20,26.9589896809394
"Diversidad ITAM",5,4,3,3,0.05506341675,0.04682222905,"RECREACION",45,49.3793916964887
"Chill Squad",5,4,4,4,0.03608349721,0.03254528707,"RECREACION",45,37.4083482456532
"Belly Dancers",4,3,3,5,0.01864314023,0.007982806263,"RECREACION",25,17.8563826883831
"Smash Bros ITAM",5,3,3,3,0.01052435335,0.001842186061,"RECREACION",15,18.3968876885357
